sub_begin_time|sub_end_time|text|class
00:00:00|00:00:03|<st> a couple of months ago I made a Twitter|NA
00:00:01|00:00:05|thread about some weird activity I saw|NA
00:00:03|00:00:07|online and after I posted that thread|NA
00:00:05|00:00:08|tons of engineers from many different|NA
00:00:07|00:00:10|tech companies reached out to me|NA
00:00:08|00:00:12|privately to tell me their stories my|NA
00:00:10|00:00:14|interest in all this started one day|NA
00:00:12|00:00:15|when I was scrolling on YouTube and the|NA
00:00:14|00:00:17|algorithm served up a pretty weird video|NA
00:00:15|00:00:19|for me to watch you know how the|NA
00:00:17|00:00:20|algorithm works right it looks at your|NA
00:00:19|00:00:22|past activity and tries to figure out|NA
00:00:20|00:00:24|what you could watch in the future that|NA
00:00:22|00:00:26|would keep you on the platform the|NA
00:00:24|00:00:28|longest it optimizes watch time the|NA
00:00:26|00:00:30|algorithm suggested I watched this video|NA
00:00:28|00:00:32|now I'm not a super political guy but I|NA
00:00:30|00:00:34|know those are important topics and it|NA
00:00:32|00:00:36|had 138 thousand views and it was only|NA
00:00:34|00:00:38|one day old so to me this looked like it|NA
00:00:36|00:00:41|was a real news story so when I clicked|NA
00:00:38|00:00:43|on the video it got weird fast strange|NA
00:00:41|00:00:46|music starts playing and a robot voice|NA
00:00:43|00:00:49|comes on and clearly starts reading me a|NA
00:00:46|00:00:52|script after Trump sins no to Ginsburg|NA
00:00:49|00:00:55|he breaks silence on plan for Supreme|NA
00:00:52|00:00:58|Court Democrats didn't think Donald|NA
00:00:55|00:01:00|would dare get ready America Ruth Bader|NA
00:00:58|00:01:03|Ginsburg hasn't been seen in public in|NA
00:01:00|00:01:05|457 days there were red flags all over|NA
00:01:03|00:01:07|the place the robot voice was reading|NA
00:01:05|00:01:09|typos the name of the channel itself was|NA
00:01:07|00:01:11|some generic faking news site there's no|NA
00:01:09|00:01:14|way this is legitimate news but the|NA
00:01:11|00:01:17|problem is it had engagement levels that|NA
00:01:14|00:01:19|were off the chart 94% liked to dislike|NA
00:01:17|00:01:21|ratio look at all these comments how can|NA
00:01:19|00:01:23|this be happening on a video of such low|NA
00:01:21|00:01:25|quality I started digging a little bit|NA
00:01:23|00:01:28|deeper so I searched YouTube for the|NA
00:01:25|00:01:31|exact same title to see what came up and|NA
00:01:28|00:01:34|whoa look at this all these videos are|NA
00:01:31|00:01:36|exactly the same title exactly the same|NA
00:01:34|00:01:39|script but they're all just a little bit|NA
00:01:36|00:01:41|different if you play the videos you get|NA
00:01:39|00:01:43|different graphics scrolling across the|NA
00:01:41|00:01:45|scene you might get a different robot|NA
00:01:43|00:01:48|voice breaking news mate goes after|NA
00:01:45|00:01:52|Trump sins no to Ginsburg he breaks|NA
00:01:48|00:01:54|silence on plan for Supreme Court after|NA
00:01:52|00:01:57|Trump's son's message to RBG he breaks|NA
00:01:54|00:01:59|silence on big plans for Supreme Court|NA
00:01:57|00:02:03|after Trump sends note to Ginsberg he|NA
00:01:59|00:02:03|breaks silence on plan for Supreme Court|NA
00:02:04|00:02:09|after Trump sends note to Ginsburg he|NA
00:02:07|00:02:12|breaks silence on plan for Supreme Court|NA
00:02:09|00:02:14|the content was essentially the same it|NA
00:02:12|00:02:16|was just arranged in a different way|NA
00:02:14|00:02:18|different photos different b-roll|NA
00:02:16|00:02:20|different title screens I'm a youtuber|NA
00:02:18|00:02:22|and I spend some time thinking about|NA
00:02:20|00:02:24|content ID systems and things like that|NA
00:02:22|00:02:26|and it's clear to me that these|NA
00:02:24|00:02:28|manipulations of the video and even the|NA
00:02:26|00:02:31|audio are attempts to get around|NA
00:02:28|00:02:33|YouTube's automated recognition systems|NA
00:02:31|00:02:34|let me explain how this works YouTube's|NA
00:02:33|00:02:37|engineers look at the individual pixels|NA
00:02:34|00:02:38|on a video and then they use the values|NA
00:02:37|00:02:40|of these pixels to perform some type of|NA
00:02:38|00:02:43|mathematical function which gives you a|NA
00:02:40|00:02:44|number called a hash you then compare|NA
00:02:43|00:02:46|hashes to other videos that have been|NA
00:02:44|00:02:48|uploaded and try to figure out if the|NA
