sub_begin_time|sub_end_time|text|class
00:01:32|00:01:37|<st> Since the early 1970s conspiracy theorists have created ever more elaborate stories about|A
00:01:37|00:01:43|how NASA faked the moon landings, much to the annoyance of the literal hundreds of thousands|NA
00:01:43|00:01:49|of people who worked in some capacity to make these missions a reality, and even more so|NA
00:01:49|00:01:53|to the men who were brave enough to sit in front of a massive controlled explosion, take|NA
00:01:53|00:01:59|a little jaunt through the soul crushing void of space in an extremely complex ship built|NA
00:01:59|00:02:04|by the lowest bidder, then get into another spacecraft whose ascent engine had never been|NA
00:02:04|00:02:10|test fired before they lit the candle, and all with the goal of exiting said ship with|NA
00:02:10|00:02:13|only a special suit between them and oblivion.|NA
00:02:13|00:02:18|And don't even get the astronauts started on the paltry government salary they earned|NA
00:02:18|00:02:22|in doing all that and the hilarious lengths they had to go to to provide some semblance|NA
00:02:22|00:02:27|of a life insurance policy for their families should the worst happen during the missions.|NA
00:02:27|00:02:31|So who first got the idea that the moon landings were faked?|NA
00:02:31|00:02:36|While it's highly likely there were at least a few individuals here and there who doubted|NA
00:02:36|00:02:41|man could accomplish such a thing a little over a half century after the end of period|NA
00:02:41|00:02:46|in which humans were still hitching up covered wagons, the first to really get the moon landing|NA
00:02:46|00:02:50|hoax story going popularly was a writer named Bill Kaysing.|NA
00:02:50|00:02:52|How did he do it?|NA
00:02:52|00:02:57|Kaysing self-published a book in 1976 called We Never Went to the Moon: America's Thirty|NA
00:02:57|00:02:59|Billion Dollar Swindle.|NA
00:02:59|00:03:04|Released a few years after the Apollo 17 mission in 1972, Kaysing’s book popularly introduced|NA
00:03:04|00:03:08|some of the most well known talking points of moon landing deniers, such as that the|NA
00:03:08|00:03:13|astronauts should have been killed when they passed through the Van Allen radiation belts,|NA
00:03:13|00:03:18|noting the lack of stars in photographs, the missing blast crater below the lunar modules,|NA
00:03:18|00:03:19|etc.|NA
00:03:19|00:03:24|"Beyond these, he also had some more, let's say, ""unusual"" and occasionally offensive"|NA
00:03:24|00:03:29|assertions which even the most ardent moon landing denier would probably rather distance|NA
00:03:29|00:03:30|themselves from.|NA
00:03:30|00:03:35|Not exactly a best-seller, Kaysing's book nonetheless laid the ground work for some|NA
00:03:35|00:03:40|of what would come after, with the idea further gaining steam in part thanks to the 1978 film|NA
00:03:40|00:03:46|Capricorn 1, which shows NASA faking a Mars landing and then going to any lengths to keep|NA
00:03:46|00:03:47|it a secret.|NA
00:03:47|00:03:52|As for the film, director Peter Hyams states he first got the idea for such a movie when|NA
00:03:52|00:03:57|"musing over the Apollo 11 mission and thinking, ""There was one event of really enormous importance"|NA
00:03:57|00:03:59|that had almost no witnesses.|NA
00:03:59|00:04:02|"And the only verification we have . . . came from a TV camera."""|NA
00:04:02|00:04:06|Not an accurate statement in the slightest on the latter point, it nonetheless got the|NA
00:04:06|00:04:11|wheels turning and he ultimately developed a script based on this notion.|NA
00:04:11|00:04:15|As to how Kaysing before him came to the conclusion that NASA faked the moon landings, the story,|NA
00:04:15|00:04:20|at least as Kaysing tells it, is that in the late 1950s he managed to view the results|NA
00:04:20|00:04:25|of a highly secretive internal study conducted by NASA on the feasibility of man successfully|NA
00:04:25|00:04:30|landing on the moon that concluded, in his own words: “That the chance of success was|NA
00:04:30|00:04:32|something like .0017 percent.|NA
00:04:32|00:04:36|In other words, it was hopeless.”|NA
00:04:36|00:04:40|Kaysing doesn't explain how NASA came up with such a precise figure given all the unknown|NA
00:04:40|00:04:45|"variables at the time, nor why he put the qualifier ""something like"" followed by such"|NA
00:04:45|00:04:47|an extremely exact number.|NA
00:04:47|00:04:49|He also did not name the report itself.|NA
00:04:49|00:04:54|And, in fact, as far as we can tell, NASA never conducted such an all encompassing study|NA
00:04:54|00:04:58|on the feasibility of a successful moon landing in the 1950s.|NA
00:04:58|00:05:02|Whether they did or not, we did find in our research looking for that report that NASA|NA
00:05:02|00:05:07|conducted a feasibility study on the proposed designs for several manned rockets immediately|NA
00:05:07|00:05:11|prior to Apollo program to decide which contractor to use.|NA
00:05:11|00:05:15|This, of course, has nothing to do with Kaysing, but we figured we’d mention it as we like|NA
00:05:15|00:05:21|to deal in facts and reading Kaysing's various works has us feeling like we need to be cleansed|NA
00:05:21|00:05:25|a little by saying things that are actually true about NASA in this period.|NA
00:05:25|00:05:29|In any event, Kaysing would later assert that he determined from this report that there’s|NA
00:05:29|00:05:36|no way NASA could have improved these 0.0017% odds in the time between the results of this|NA
00:05:36|00:05:40|supposed study and the moon landings about a decade later.|NA
00:05:40|00:05:46|Now, if Kaysing was just some random guy shouting in the wind, it's unlikely anyone would have|NA
00:05:46|00:05:47|listened to him.|NA
00:05:47|00:05:52|Every conspiracy theory origin story needs at least some shred of credibility from the|NA
00:05:52|00:05:55|person starting it to get the fire going.|NA
00:05:55|00:05:59|For Kaysing’s assertions about the moon landings, this comes in the form of the fact|NA
00:05:59|00:06:04|that for a brief period he worked for Rocketdyne, a company that made rockets for the Apollo|NA
00:06:04|00:06:05|program.|NA
00:06:05|00:06:10|Not an engineer or having any similar technical expertise whatsoever, Kaysing's background|NA
00:06:10|00:06:15|was primarily in writing, earning an English degree from the University of Redlands, after|NA
00:06:15|00:06:18|which he naturally got a job making furniture.|NA
00:06:18|00:06:22|As for the writing gig he landed with Rocketdyne, his job was initially as a technical writer|NA
00:06:22|00:06:28|starting in 1956 and he eventually worked his way up to head of technical publications.|NA
00:06:28|00:06:33|He finally quit in 1963, deciding he'd had enough of working for the man.|NA
00:06:33|00:06:38|After quitting, to quote him, “the rat race”, in 1963 Kaysing traveled the country in a|NA
00:06:38|00:06:42|trailer with his family, earning his living writing books on a variety of topics from|NA
00:06:42|00:06:44|motorcycles to farming.|NA
00:06:44|00:06:48|This brings us to 1969 when he, like most everyone else in the world with access to|NA
00:06:48|00:06:50|a TV watched the moon landing.|NA
00:06:50|00:06:54|While watching, Kaysing recalled the supposed NASA study he’d seen all those years ago,|NA
00:06:54|00:06:58|as well as that engineers he'd worked with at the time in the late 1950s claimed that|NA
00:06:58|00:07:03|while the technology existed to get the astronauts to the moon, getting them back was not yet|NA
00:07:03|00:07:04|possible.|NA
00:07:04|00:07:08|He later stated he further thought, “As late as 1967 three astronauts died in|NA
00:07:08|00:07:09|a horrendous fire on the launch pad.|NA
00:07:09|00:07:14|But as of '69, we could suddenly perform manned flight upon manned flight?|NA
00:07:14|00:07:15|With complete success?|NA
00:07:15|00:07:18|It's just against all statistical odds.”|NA
00:07:18|00:07:22|Despite often describing himself as “the fastest pen in the west”, it would take|NA
00:07:22|00:07:27|Kaysing several years to write the book that introduced one of the most enduring conspiracy|NA
