sub_begin_time|sub_end_time|text|class
00:00:00|00:00:08|<st> [Music]|A
00:00:06|00:00:10|this video is sponsored by dev Mountain|A
00:00:08|00:00:13|if you're interested in learning web|A
00:00:10|00:00:14|development iOS or UX design dev|A
00:00:13|00:00:16|Mountain is a 12-week design and|A
00:00:14|00:00:18|development boot camp intended to get|A
00:00:16|00:00:21|you a full-time position in the industry|A
00:00:18|00:00:22|to learn more visit dev mountain comm or|A
00:00:21|00:00:24|click the link in the description below|A
00:00:22|00:00:25|hey what's going on guys so in this|NA
00:00:24|00:00:28|video we're gonna create three different|NA
00:00:25|00:00:31|CSS loaders using a little bit of|NA
00:00:28|00:00:33|animation and these three were inspired|NA
00:00:31|00:00:35|by a couple different code pens and I'll|NA
00:00:33|00:00:37|put those links in the description but|NA
00:00:35|00:00:39|basically I have the first one here if I|NA
00:00:37|00:00:42|reload it's gonna be these three hours|NA
00:00:39|00:00:45|I'm sorry these two circles that kind of|NA
00:00:42|00:00:47|revolve and change sizes and runs for|NA
00:00:45|00:00:48|about four seconds and then the main|NA
00:00:47|00:00:50|content comes in|NA
00:00:48|00:00:52|now this little landing page here we're|NA
00:00:50|00:00:54|not going to do this till the very end|NA
00:00:52|00:00:57|the main point of this is creating the|NA
00:00:54|00:00:59|loaders but I did want to have it you|NA
00:00:57|00:01:01|know give the effect that the page was|NA
00:00:59|00:01:02|actually loading so we'll add a little|NA
00:01:01|00:01:05|bit of JavaScript at the end to do that|NA
00:01:02|00:01:08|so the second one is going to be the|NA
00:01:05|00:01:10|text loading with three dots that come|NA
00:01:08|00:01:12|in one by one okay so that's gonna be|NA
00:01:10|00:01:15|the second one and then the last one is|NA
00:01:12|00:01:18|going to be these three circles that|NA
00:01:15|00:01:20|just kind of bounce so that'll be the|NA
00:01:18|00:01:22|third one alright and they're all the|NA
00:01:20|00:01:24|same color scheme what we're gonna do is|NA
00:01:22|00:01:26|just have separate CSS files for each|NA
00:01:24|00:01:29|loader and you can use these when you're|NA
00:01:26|00:01:31|fetching data from an API for instance|NA
00:01:29|00:01:33|something that you know that takes a|NA
00:01:31|00:01:35|little bit of time or you could just add|NA
00:01:33|00:01:37|it like we're doing here and just have a|NA
00:01:35|00:01:39|little effect for your website even|NA
00:01:37|00:01:41|though you don't need it it's just a|NA
00:01:39|00:01:43|nice little effect for for your users|NA
00:01:41|00:01:44|all right so let's jump in and get|NA
00:01:43|00:01:46|started all right so we're gonna get|NA
00:01:44|00:01:48|started here I just want to go over the|NA
00:01:46|00:01:51|structure real quick I don't have any|NA
00:01:48|00:01:53|code written at all I just created the|NA
00:01:51|00:01:57|files so we have an index.html we have|NA
00:01:53|00:02:00|inside our CSS folder a style dot CSS|NA
00:01:57|00:02:02|and then loader one two and three dot|NA
00:02:00|00:02:05|CSS so we can separate the styling for|NA
00:02:02|00:02:08|each loader and we can see one at a time|NA
00:02:05|00:02:10|and then I just have a main J s inside|NA
00:02:08|00:02:11|of a j/s folder and that's where|NA
00:02:10|00:02:14|we're gonna add the set timeout so we|NA
00:02:11|00:02:16|can bring in the content okay so let's|NA
00:02:14|00:02:19|start off with our HTML I'm gonna just|NA
00:02:16|00:02:24|put in a boilerplate here and let's|NA
00:02:19|00:02:28|change the title to CSS loaders and then|NA
00:02:24|00:02:32|I'm gonna bring in let's bring in our|NA
00:02:28|00:02:35|main stylesheet so CSS slash style.css|NA
00:02:32|00:02:36|and then let's also bring in loader 1|NA
00:02:35|00:02:40|since that's what we're working with|NA
00:02:36|00:02:42|first and then in the HTML for load of 1|NA
00:02:40|00:02:45|we need to have a div with the class of|NA
00:02:42|00:02:47|loader they're actually all gonna have a|NA
00:02:45|00:02:50|class of loader but for this one we're|NA
00:02:47|00:02:52|also gonna have two divs inside with the|NA
00:02:50|00:02:55|class of circle because if you remember|NA
00:02:52|00:02:57|they're the two circles that basically|NA
00:02:55|00:03:01|rotate and change sizes as they rotate|NA
00:02:57|00:03:03|they scale up so let's save that we're|NA
00:03:01|00:03:06|not gonna add the like the paragraph and|NA
00:03:03|00:03:09|the heading and stuff until until last|NA
00:03:06|00:03:13|so now let's open this I'm gonna run it|NA
00:03:09|00:03:15|with live server and obviously we don't|NA
00:03:13|00:03:17|have anything here it's just blank but|NA
00:03:15|00:03:20|let's open up our style CSS and let's|NA
00:03:17|00:03:23|add some of these core stylings here now|NA
00:03:20|00:03:24|I'm gonna paste these in just because I|NA
00:03:23|00:03:25|don't want to take the time to type all|NA
00:03:24|00:03:27|this out especially where it doesn't|NA
00:03:25|00:03:30|have anything to do with the actual|NA
00:03:27|00:03:33|loaders so first is the fonts I'm using|NA
00:03:30|00:03:35|the lato font as well as this z cool|NA
00:03:33|00:03:38|quality I don't really know how to say|NA
00:03:35|00:03:40|that but this will this font here is for|NA
00:03:38|00:03:43|the second loader which is the text with|NA
00:03:40|00:03:45|the ellipses that's what this font is|NA
00:03:43|00:03:49|alright and then I'm just gonna throw in|NA
00:03:45|00:03:51|a reset here so border box and then|NA
00:03:49|00:03:53|we're just taking the margin and padding|NA
00:03:51|00:03:57|off of everything and then the body|NA
00:03:53|00:03:59|where we implement the font size the|NA
00:03:57|00:04:02|line Heights the background I'm using|NA
00:03:59|00:04:04|linear gradient so we get a gradient|NA
00:04:02|00:04:06|effect and then we're setting the entire|NA
00:04:04|00:04:09|body to flex and we're using Flex|NA
00:04:06|00:04:12|Direction column so that they stack on|NA
00:04:09|00:04:13|top instead of in a row and then we're|NA
00:04:12|00:04:16|just aligning everything to the center|NA
00:04:13|00:04:18|both horizontally and vertically and|NA
00:04:16|00:04:21|we're taking up the entire height of the|NA
00:04:18|00:04:23|browser of the window our viewport I|NA
00:04:21|00:04:25|should say all right so let's save that|NA
00:04:23|00:04:28|you can see the the gradient very|NA
00:04:25|00:04:30|lightly very light gradient and then|NA
00:04:28|00:04:33|we're gonna now jump into loader one CSS|NA
00:04:30|00:04:35|and get started with the first loader|NA
00:04:33|00:04:37|now I'm gonna write this in a way that I|NA
00:04:35|00:04:40|can explain it best rather than just|NA
00:04:37|00:04:43|doing it linear so let's start off with|NA
00:04:40|00:04:44|our loader which is the wrapper remember|NA
00:04:43|00:04:46|we have loader and then we have to|NA
00:04:44|00:04:50|circle divs so the height of the entire|NA
00:04:46|00:04:53|thing is going to be 50 pixels all right|NA
00:04:50|00:04:58|and then we remember we have our circles|NA
00:04:53|00:05:00|and we're gonna set the background color|NA
00:04:58|00:05:02|to purple or you could use whatever you|NA
00:05:00|00:05:08|would like and then I'm gonna set a|NA
00:05:02|00:05:11|height of 40 pixels and a width also of|NA
00:05:08|00:05:13|40 pixels and if I save that we just get|NA
00:05:11|00:05:14|two purple squares which obviously isn't|NA
00:05:13|00:05:18|what we want let's turn them into|NA
00:05:14|00:05:21|circles by adding a border radius of 50|NA
00:05:18|00:05:23|percent okay now I want the second|NA
00:05:21|00:05:25|circle to be a different color so I'm|NA
00:05:23|00:05:27|gonna just go ahead and say circle and|NA
00:05:25|00:05:29|I'm gonna use the pseudo select select|NA
00:05:27|00:05:32|our end child and let's pass in two we|NA
00:05:29|00:05:37|want the second one and we're gonna set|NA
00:05:32|00:05:42|the background color and we're gonna set|NA
00:05:37|00:05:45|that to pale violet red and save and now|NA
00:05:42|00:05:47|we have two different color circles so|NA
00:05:45|00:05:48|as far as the animation there's two|NA
00:05:47|00:05:51|separate animations one is going to be|NA
00:05:48|00:05:53|the rotation of the loader itself and|NA
00:05:51|00:05:56|then the circles are gonna scale|NA
00:05:53|00:05:58|basically go up and down in size so|NA
00:05:56|00:06:01|let's start with the first rotation our|NA
00:05:58|00:06:03|first animation so we'll say animation|NA
00:06:01|00:06:06|rotate and we're just calling it rotate|NA
00:06:03|00:06:08|here three seconds long it's going to be|NA
00:06:06|00:06:12|in a linear fashion and infinite because|NA
00:06:08|00:06:14|we wanted to keep going now down here|NA
00:06:12|00:06:20|we're going to create our keyframe for|NA
00:06:14|00:06:24|that animation so keyframes rotates and|NA
00:06:20|00:06:27|let's say two and we want it to rotate|NA
00:06:24|00:06:30|360 degrees so we're gonna use transform|NA
00:06:27|00:06:31|here use the transform property and then|NA
00:06:30|00:06:36|rotate|NA
00:06:31|00:06:38|and let's say 360 deg okay so I save|NA
00:06:36|00:06:41|that it's gonna start to rotate now I|NA
00:06:38|00:06:43|want to have a different effect as far|NA
00:06:41|00:06:45|as the transform origin as far as like|NA
00:06:43|00:06:46|the position so I'm gonna add up here|NA
00:06:45|00:06:52|and loader|NA
00:06:46|00:06:56|transform - origin and let's say bottom|NA
00:06:52|00:07:00|center and save so now it rotates in a|NA
00:06:56|00:07:02|different way now the rotate is is just|NA
00:07:00|00:07:05|one of the animations so the circle is|NA
00:07:02|00:07:09|also going to have inanimate little and|NA
00:07:05|00:07:13|animation and we're gonna call this grow|NA
00:07:09|00:07:19|and it's going to be 1.5 seconds for the|NA
00:07:13|00:07:21|duration linear and infinite okay so|NA
00:07:19|00:07:26|let's go down here and let's create the|NA
00:07:21|00:07:33|keyframe for that so grow and we want to|NA
00:07:26|00:07:35|say it at 50% we want to transform and|NA
00:07:33|00:07:37|we're gonna use scale here scale just|NA
00:07:35|00:07:41|brings it up and down in size and we're|NA
00:07:37|00:07:44|gonna do scale one now this isn't going|NA
00:07:41|00:07:47|to do anything if I save it because it's|NA
00:07:44|00:07:49|scaled at 1 by default so it's not|NA
00:07:47|00:07:51|actually doing anything so what we'll do|NA
00:07:49|00:07:56|is we'll set the default scale of circle|NA
00:07:51|00:07:58|up here let's say transform scale and|NA
00:07:56|00:08:02|we'll set it to 0 which is basically|NA
00:07:58|00:08:09|invisible so we'll save that whoops I|NA
00:08:02|00:08:13|forgot transform scale wait a minute oh|NA
00:08:09|00:08:13|I spelled transform huh|NA
00:08:14|00:08:20|same thing goes though it wouldn't work|NA
00:08:16|00:08:22|until I set the initial scale to zero so|NA
00:08:20|00:08:25|now it starts at zero and then every 1.5|NA
00:08:22|00:08:28|seconds it scales to basically full-size|NA
00:08:25|00:08:30|normal size all right now there's a|NA
00:08:28|00:08:35|couple things we want to do in terms of|NA
00:08:30|00:08:40|the placement I'm gonna add a margin to|NA
00:08:35|00:08:41|circle of negative 10 pixels okay you|NA
00:08:40|00:08:44|can see it kind of brought them closer|NA
00:08:41|00:08:46|and I'm gonna add a delay because right|NA
00:08:44|00:08:48|now they're the growing and shrinking at|NA
00:08:46|00:08:51|the same time which I don't want so the|NA
00:08:48|00:08:57|second circle I'm gonna add an animation|NA
00:08:51|00:09:01|delay and I'm gonna add I'm gonna say|NA
00:08:57|00:09:04|0.75 seconds so now save and now you can|NA
00:09:01|00:09:07|see that there's a delay alright and now|NA
00:09:04|00:09:09|they're no longer touching so that that|NA
00:09:07|00:09:12|looks good so that's that's pretty much|NA
00:09:09|00:09:14|it as far as the animation one more|NA
00:09:12|00:09:20|thing that I wanted to do is display|NA
00:09:14|00:09:23|this as an inline inline block like that|NA
00:09:20|00:09:27|because then it goes all the way around|NA
00:09:23|00:09:32|like that okay so that's our first|NA
00:09:27|00:09:34|animation our first CSS loader so let's|NA
00:09:32|00:09:37|jump to the second one so what I'll do|NA
00:09:34|00:09:40|is in index.html I'm gonna just comment|NA
00:09:37|00:09:42|out actually first I'll copy this down|NA
00:09:40|00:09:45|and then comment this out and we want to|NA
00:09:42|00:09:49|load loader too and let's just put a|NA
00:09:45|00:09:53|comment here that says loader 1 and then|NA
00:09:49|00:09:55|I'm gonna just comment this out alright|NA
00:09:53|00:09:59|so basically starting from scratch and|NA
00:09:55|00:10:02|then we're gonna say loader 2 now loader|NA
00:09:59|00:10:05|2 for the HTML is pretty simple we're|NA
00:10:02|00:10:07|just gonna have another class of loader|NA
00:10:05|00:10:09|and then we're just going to have the|NA
00:10:07|00:10:11|text loading and you can put any text|NA
00:10:09|00:10:13|you want I'm just using the text loading|NA
00:10:11|00:10:16|so let's save that and we just see|NA
00:10:13|00:10:22|loading so let's open up our loader to|NA
00:10:16|00:10:25|CSS and let's add the class of loader|NA
00:10:22|00:10:31|and I'm gonna like I said use the font|NA
00:10:25|00:10:39|that font family what is it Z cool Z|NA
00:10:31|00:10:44|cool and then it's K you a I capital L|NA
00:10:39|00:10:45|II just weird and it's cursive okay so|NA
00:10:44|00:10:47|that's the font family that we're going|NA
00:10:45|00:10:52|to use I'm going to up the size a little|NA
00:10:47|00:10:54|bit so font size let's do 40 pixels and|NA
00:10:52|00:11:00|for the color I'm going to use that same|NA
00:10:54|00:11:05|pale violet red okay so we get loading|NA
00:11:00|00:11:07|now I want to add we're adding content|NA
00:11:05|00:11:09|here we're gonna add the ellipses or|NA
00:11:07|00:11:12|those those three dots right so we're|NA
00:11:09|00:11:16|gonna use the pseudo selector after so|NA
00:11:12|00:11:19|let's say dot loader double colon and|NA
00:11:16|00:11:23|then after which allows us to basically|NA
00:11:19|00:11:28|insert content vs CSS now for the|NA
00:11:23|00:11:30|content we can use an ASCII code for the|NA
00:11:28|00:11:36|ellipses character and that's going to|NA
00:11:30|00:11:38|be / - OH - six okay so if I save that|NA
00:11:36|00:11:40|it's gonna actually give us those three|NA
00:11:38|00:11:43|ellipses now and obviously they're not|NA
00:11:40|00:11:45|animating it just puts them there now|NA
00:11:43|00:11:47|I'm gonna set the actually I'll do the|NA
00:11:45|00:11:54|with last but I'm gonna do a|NA
00:11:47|00:11:59|display:inline-block and then I'm going|NA
00:11:54|00:12:00|to add an overflow of hidden or else|NA
00:11:59|00:12:02|it's not gonna it's gonna basically just|NA
00:12:00|00:12:05|keep its gonna show us the three at all|NA
00:12:02|00:12:07|times so we want to do that now see how|NA
00:12:05|00:12:10|they moved up we're gonna add a vertical|NA
00:12:07|00:12:13|align property and set it to the bottom|NA
00:12:10|00:12:16|so that will move it down it's actually|NA
00:12:13|00:12:18|in the middle but that's fine and then|NA
00:12:16|00:12:19|it's it's just the font if this was a|NA
00:12:18|00:12:22|different font|NA
00:12:19|00:12:24|I believe let me just get rid of that|NA
00:12:22|00:12:27|yeah so it'll be at the bottom it's just|NA
00:12:24|00:12:31|this font where it's doing that and then|NA
