sub_begin_time|sub_end_time|text|class
00:00:00|00:00:02|<st> |NA
00:00:02|00:00:06| Thanks to Curiosity Stream for supporting PBS Digital Studios.|NA
00:00:06|00:00:09||NA
00:00:09|00:00:14|It looks like I'm wearing really bad tanning oil.|NA
00:00:14|00:00:15|Hey, I'm Dianna.|NA
00:00:15|00:00:16|You're watching Physics Girl.|NA
00:00:16|00:00:19|Just relaxing here in the shade on this beautiful summer day.|NA
00:00:19|00:00:20|Isn't that right, Derek?|NA
00:00:20|00:00:22| Yeah, that's right.|NA
00:00:22|00:00:23| OK, but you're not even in this video yet,|NA
00:00:23|00:00:24|so you just chill.|NA
00:00:24|00:00:27|So a couple of months ago, a few guys got in touch with me|NA
00:00:27|00:00:31|and told me that they had access to a UV camera.|NA
00:00:31|00:00:33|Do you know what that is?|NA
00:00:33|00:00:33| Yes.|NA
00:00:33|00:00:35| Basically, it's a camera that allows|NA
00:00:35|00:00:38|you to see the world in ultraviolet, which|NA
00:00:38|00:00:40|meant a few things for me.|NA
00:00:40|00:00:43|It meant that I could see what this looks like in UV.|NA
00:00:43|00:00:46|I could see what your face looks like without any lotion|NA
00:00:46|00:00:48|or makeup on in UV.|NA
00:00:48|00:00:50|And I could see how sunscreen shows up|NA
00:00:50|00:00:52|on your face in ultraviolet.|NA
00:00:52|00:00:56|And so I said, yes, please do come visit me in San Diego|NA
00:00:56|00:00:58|and bring your UV camera.|NA
00:00:58|00:01:01|And so the guys from the very well-made YouTube channel,|NA
00:01:01|00:01:03|How to Make Everything, showed up at my house.|NA
00:01:03|00:01:05|And this is what we did.|NA
00:01:05|00:01:08| Yeah, on your pants.|NA
00:01:08|00:01:10|Your pants are so tigress right now.|NA
00:01:10|00:01:13| You're going to have some weird tan lines after this.|NA
00:01:13|00:01:15| I was just thinking that.|NA
00:01:15|00:01:16| This is so crazy.|NA
00:01:16|00:01:19| Oh, they're devil horns.|NA
00:01:19|00:01:22| The bigger the better, if you ask me.|NA
00:01:22|00:01:24||NA
00:01:24|00:01:26| I gotta see this.|NA
00:01:26|00:01:27| Is that showing up?|NA
00:01:27|00:01:28| Oh, yeah.|NA
00:01:28|00:01:31| Oh, yeah.|NA
00:01:31|00:01:31| Nice.|NA
00:01:31|00:01:38||NA
00:01:38|00:01:40| Yeah, that was the fun day.|NA
00:01:40|00:01:42|But I should explain why I'm here|NA
00:01:42|00:01:44|with Derek from Veritasium, who is also making|NA
00:01:44|00:01:47|a video about the world in UV.|NA
00:01:47|00:01:49| I've been making this video for like a year.|NA
00:01:49|00:01:51| And I'm here to make him finish it.|NA
00:01:51|00:01:53|But for this video, we're going to cut in a few times|NA
00:01:53|00:01:56|to discuss the sunscreen controversies.|NA
00:01:56|00:01:57| There are a lot of misconceptions|NA
00:01:57|00:01:58|about sunscreens.|NA
00:01:58|00:01:59|And we're going to clear them up.|NA
00:01:59|00:02:00| Yeah.|NA
00:02:00|00:02:01|But for now, I'm going to turn it over|NA
00:02:01|00:02:03|to Dianna in the studio.|NA
00:02:03|00:02:04| Back to you, Diana.|NA
00:02:04|00:02:05| The first thing I wanted to look into|NA
00:02:05|00:02:08|was whether different SPFs, that is,|NA
00:02:08|00:02:10|sun protection factor, which actually|NA
00:02:10|00:02:12|is supposed to indicate how strong the sunscreen is.|NA
00:02:12|00:02:15|But anyways, I wanted to see whether different SPFs|NA
00:02:15|00:02:18|of sunscreen look different under UV light.|NA
00:02:18|00:02:22|And then I wanted to compare whether high SPFs, like SPF|NA
00:02:22|00:02:24|100, are more effective than just|NA
00:02:24|00:02:27|regular high SPFs, like SPF 50.|NA
00:02:27|00:02:28|Here was my thinking.|NA
00:02:28|00:02:31|With a UV camera, things that look lighter|NA
00:02:31|00:02:34|are emitting or reflecting UV light, like the wall behind us.|NA
00:02:34|00:02:36|And things that look darker, like the shirt|NA
00:02:36|00:02:39|that I'm wearing, are absorbing UV light.|NA
