sub_begin_time|sub_end_time|text|class
00:00:00|00:00:05|today we're gonna try to sign a Messi|NA
00:00:02|00:00:09|Neymar in Ronaldo to the same team on|NA
00:00:05|00:00:12|career mode you guys looking for a cheap|A
00:00:09|00:00:13|place to pick up booty kids for the 2018|A
00:00:12|00:00:15|World Cup|A
00:00:13|00:00:18|check out soccer deal shop comm link in|A
00:00:15|00:00:20|the description use code Lancer get|A
00:00:18|00:00:22|yourself a 10% discount I picked up a|A
00:00:20|00:00:24|bunch of the kits for myself there's|A
00:00:22|00:00:27|super nice quality they also have new|A
00:00:24|00:00:29|boot deals on their website as well and|A
00:00:27|00:00:31|they have a bunch of new kids for the|A
00:00:29|00:00:32|upcoming season in the Premier League|A
00:00:31|00:00:34|and all the other leagues around the|A
00:00:32|00:00:35|world check them out link in the|A
00:00:34|00:00:37|description you know what's going on you|NA
00:00:35|00:00:39|guys welcome back to yet another video|NA
00:00:37|00:00:41|today on the channel where we are gonna|NA
00:00:39|00:00:42|be doing a feet 18 Korea bout experiment|NA
00:00:41|00:00:46|and we're gonna be trying to get Neymar|NA
00:00:42|00:00:47|Messi in Ronaldo on the same team before|NA
00:00:46|00:00:50|we get started I'm doing a big giveaway|NA
00:00:47|00:00:52|on Twitter this company t blocks if you|NA
00:00:50|00:00:53|can you can see them right there they|NA
00:00:52|00:00:55|save me this nice note and they sent me|NA
00:00:53|00:00:57|a bunch of cool merch I'm giving away|NA
00:00:55|00:00:59|some shirts over on Twitter link in the|NA
00:00:57|00:01:00|description if you guys wanna enter that|NA
00:00:59|00:01:02|giveaway with that being said though|NA
00:01:00|00:01:04|let's get into to this experiment so the|NA
00:01:02|00:01:07|team we went with was Manchester United|NA
00:01:04|00:01:11|because look at their budget who hunt no|NA
00:01:07|00:01:12|238 million pounds to spend I mean oh my|NA
00:01:11|00:01:14|god that is insane so we already have a|NA
00:01:12|00:01:15|lot of money to start off and we're|NA
00:01:14|00:01:17|gonna need a ton of money to sign these|NA
00:01:15|00:01:20|players but what we're gonna do to get|NA
00:01:17|00:01:22|even more money is add the financial|NA
00:01:20|00:01:24|takeover to this we're just gonna try to|NA
00:01:22|00:01:26|make Manchester United even more rich|NA
00:01:24|00:01:28|than they already are here we go guys|NA
00:01:26|00:01:31|we're equipping the financial takeover|NA
00:01:28|00:01:32|redeem item that will take place in a|NA
00:01:31|00:01:34|few days and we should get that extra|NA
00:01:32|00:01:37|cash the next thing we're gonna do here|NA
