sub_begin_time|sub_end_time|text|class
00:00:00|00:00:06|<st> in a recent video we gamed on the first|NA
00:00:03|00:00:08|8k consumer display and the conclusion|NA
00:00:06|00:00:11|we came to was that given all the hoops|NA
00:00:08|00:00:16|we had to jump through to get any more|NA
00:00:11|00:00:18|than 30 Hertz working at 8k pretty much|NA
00:00:16|00:00:20|wasn't worth the hassle and we were|NA
00:00:18|00:00:24|gonna have to wait for this technology|NA
00:00:20|00:00:25|to become practical but then sharp|NA
00:00:24|00:00:29|electronics|NA
00:00:25|00:00:32|watch to that video and basically said|NA
00:00:29|00:00:35|hey it really shouldn't be that|NA
00:00:32|00:00:39|difficult to get it working all you need|NA
00:00:35|00:00:46|is the right TV so their commercial|NA
00:00:39|00:00:52|display group sent over this charts|NA
00:00:46|00:00:56|70-inch a KTV that actually utilizes not|NA
00:00:52|00:01:00|one not two not three but four|NA
00:00:56|00:01:03|concurrent HDMI connections to achieve|NA
00:01:00|00:01:06|true 8k 60 Hertz functionality|NA
00:01:03|00:01:10|supposedly with no hassle whatsoever|NA
00:01:06|00:01:12|well I have a way of creating hassle|NA
00:01:10|00:01:16|where no hassle existed before so I|NA
00:01:12|00:01:19|truly wish them luck with that it's|NA
00:01:16|00:01:21|making of wishing luck good luck to our|A
00:01:19|00:01:24|sponsor keeping your site up when all of|A
00:01:21|00:01:26|the ltte fans rushed to your site honey|A
00:01:24|00:01:28|is a free web browser extension that|A
00:01:26|00:01:30|will find you the best promo codes on|A
00:01:28|00:01:33|popular shopping websites like Amazon|A
00:01:30|00:01:36|eBay and more get it today at join|A
00:01:33|00:01:38|honeycomb slash LTT did I mention it's|A
00:01:36|00:01:43|free|A
00:01:38|00:01:43|[Music]|A
00:01:46|00:02:00|step number one stand it's the easy part|A
00:01:52|00:02:04|step number D power cable still easy|A
00:02:00|00:02:14|it's dumb numbers right get a mean DC|A
00:02:04|00:02:16|powerful enough to run 8k step 4|A
00:02:14|00:02:17|introduce Andy who just cleared his|A
00:02:16|00:02:21|probation you don't have to duck from|A
00:02:17|00:02:24|the camera anymore dude alright do you|A
00:02:21|00:02:27|want to give me a hand with this oh so|A
00:02:24|00:02:30|ha let's go ahead and I'm gonna tip it|A
00:02:27|00:02:33|your way so we're gonna put the stand on|A
00:02:30|00:02:37|with it upside down okay do you want to|A
00:02:33|00:02:40|grab that screwdriver it's okay I got|A
00:02:37|00:02:48|this you can you can trust me he thinks|A
00:02:40|00:02:51|I might drop it gotta say the packing|A
00:02:48|00:02:53|for this is definitely more rudimentary|A
00:02:51|00:02:55|I think this is like a demo unit for|A
00:02:53|00:02:57|sending to potential commercial|A
00:02:55|00:02:58|customers or something|A
00:02:57|00:03:01|there's no I don't even think there was|A
00:02:58|00:03:03|a remote in the box it's a really clean|A
00:03:01|00:03:05|looking TV very little branding got your|A
00:03:03|00:03:09|Sharp logo over here ah quotes and then|A
00:03:05|00:03:14|you've just got eight k76 80 by 40 320|A
00:03:09|00:03:14|pixels baby okay here we go|A
00:03:17|00:03:23|now these HDMI cables are nothing|A
00:03:20|00:03:26|special but theoretically each one of|A
00:03:23|00:03:30|them is only carrying a 4k 60 signal|A
00:03:26|00:03:33|which should be fine just fine except|A
00:03:30|00:03:35|for one small problem no modern graphics|A
00:03:33|00:03:40|card contains more than usually one or|A
00:03:35|00:03:41|two HDMI connections now we tried a|A
00:03:40|00:03:44|solution a little while ago where we|A
00:03:41|00:03:48|used for graphics cards in a Quadro|A
00:03:44|00:03:51|mosaic display thing to drive quadrants|A
00:03:48|00:03:53|of a monitor it didn't work at all it|A
00:03:51|00:03:56|was super stupid performance sucked but|A
00:03:53|00:03:58|fortunately adapters to the rescue so|A
00:03:56|00:04:02|these are active|A
00:03:58|00:04:05|DisplayPort to HDMI 2.0 adapters that I|A
00:04:02|00:04:07|acquired for that failed project and I|A
00:04:05|00:04:10|am hoping to finally see some success|A
00:04:07|00:04:18|with today so we're gonna get these bad|A
00:04:10|00:04:21|boys plugged in oh wait oh I had this|A
00:04:18|00:04:24|totally wrong before so when I pointed|A
00:04:21|00:04:27|at the HDMI ports before that was|A
00:04:24|00:04:29|completely wrong the HDMI ports I wanted|A
00:04:27|00:04:33|were down here so these are all just|A
00:04:29|00:04:38|individual normal HDMI ports this is a|A
00:04:33|00:04:40|single input input seven 8k signal input|A
00:04:38|00:04:43|and it's got like cable management clips|A
00:04:40|00:04:46|for and all that shiz so just like that|A
00:04:43|00:04:47|experiment with each separate graphics|A
00:04:46|00:04:51|card running a different quadrant of the|A
00:04:47|00:04:54|display this display does split input|A
00:04:51|00:04:56|seven into quadrants but unlike that one|A
00:04:54|00:04:58|we're using a single graphics card with|A
00:04:56|00:05:01|its single frame buffer in order to|A
00:04:58|00:05:03|drive all four quadrants or rather I|A
00:05:01|00:05:05|should say we're using two in SLI but|A
00:05:03|00:05:07|they're all hooked up to a single one so|A
00:05:05|00:05:09|we don't need any kind of external|A
00:05:07|00:05:12|synchronization card or anything like|A
00:05:09|00:05:15|that it thought should theoretically|A
00:05:12|00:05:19|just work believe it or not this is how|A
00:05:15|00:05:21|they usually run like future panel|A
00:05:19|00:05:24|technology demos at trade shows like CES|A
00:05:21|00:05:26|except instead of actually building them|A
00:05:24|00:05:29|into a real commercialized product they|A
00:05:26|00:05:31|just do it on like a crazy hand soldered|A
00:05:29|00:05:37|thing that sits under the curtain that|A
00:05:31|00:05:39|looks great I'm like feeling the what is|A
00:05:37|00:05:42|it what was it Mac sell or something|A
00:05:39|00:05:46|Memorex but you know that classic|A
00:05:42|00:05:49|commercial but now take KK me no signal|A
00:05:46|00:05:54|from external device hey bottom right|A
00:05:49|00:05:57|grab the signal holy it's on the whole|A
00:05:54|00:06:00|display now hold on a minute|A
00:05:57|00:06:03|no way there's no way it's gonna just|A
00:06:00|00:06:05|run a ke effortlessly okay one of them|A
00:06:03|00:06:08|is running at 50 Hertz why would that be|A
00:06:05|00:06:10|and how would that work that's bizarre|A
00:06:08|00:06:12|why would anyone want that one running|A
00:06:10|00:06:13|at 50 and the others running at 60 okay|A
00:06:12|00:06:16|let's have it|A
00:06:13|00:06:17|let's have a quick boo here so we need|A
00:06:16|00:06:21|to grab some games we're gonna get that|A
00:06:17|00:06:22|going but in the meantime know this did|A
00:06:21|00:06:25|not quite work perfectly out of the box|A
00:06:22|00:06:27|and I do think we have a little bit of|A
00:06:25|00:06:29|configuration to do so let's start by|A
00:06:27|00:06:30|figuring out which one of these is|A
00:06:29|00:06:33|broken|A
00:06:30|00:06:37|I suspect the one that's running at 50|A
00:06:33|00:06:44|Hertz but only one way to find out for|A
00:06:37|00:06:47|oh man that wasn't it oh boy oh boy okay|A
00:06:44|00:06:57|maybe just enter will do it no of course|A
00:06:47|00:06:58|not did it oh boy what is Oh he's dead|A
00:06:57|00:07:01|Jim|A
00:06:58|00:07:04|this isn't even working in the BIOS now|A
00:07:01|00:07:07|this is more broken than it was when we|A
00:07:04|00:07:10|started I have a way of creating hassle|A
00:07:07|00:07:12|where no hassle existed before okay so|A
00:07:10|00:07:16|it's running but still not correctly|A
00:07:12|00:07:18|however before we move forward I've got|A
00:07:16|00:07:21|a bit of an update for you guys as it|A
00:07:18|00:07:24|turns out at least one of the problems|A
00:07:21|00:07:28|we had was caused by invidious seemingly|A
00:07:24|00:07:31|arbitrary limitation on their consumer|A
00:07:28|00:07:33|graphics cards that only allows you to|A
00:07:31|00:07:38|set up an end the surround configuration|A
00:07:33|00:07:44|with a maximum of three displays so this|A
00:07:38|00:07:47|system is out and my test bench is in so|A
00:07:44|00:07:49|we've hooked this up with 2gb 100 Quadro|A
00:07:47|00:07:52|graphics cards these have 32 gigs of ram|A
00:07:49|00:07:55|over 5,000 cuda cores in terms of their|A
00:07:52|00:07:59|gaming performance they shouldn't be|A
00:07:55|00:08:01|that far off something like an RT X 2080|A
00:07:59|00:08:02|I mean they're not quite there but|A
00:08:01|00:08:05|they're certainly closer to that than|A
00:08:02|00:08:06|they are to attend a DTI then we ran|A
00:08:05|00:08:08|into another problem remember how I had|A
00:08:06|00:08:11|three of these DisplayPort to HDMI|A
00:08:08|00:08:14|adapter z' well these cards only have|A
00:08:11|00:08:17|DisplayPort outputs so I had to use|A
00:08:14|00:08:19|DisplayPort to DVI DVI to HDMI and then|A
00:08:17|00:08:23|that to the TV so while we are actually|A
00:08:19|00:08:25|running an Nvidia mosaic configuration|A
00:08:23|00:08:27|here and we can see that if we pull up|A
00:08:25|00:08:30|the Nvidia control panel and|A
00:08:27|00:08:32|theoretically when we go to manage GPU|A
00:08:30|00:08:38|utilization here we're running an SLI|A
00:08:32|00:08:40|but the SLI menu item went away once we|A
00:08:38|00:08:42|configured mosaic and it doesn't appear|A
00:08:40|00:08:45|that our second GPU is actually doing|A
00:08:42|00:08:47|anything for now this is what we're|A
00:08:45|00:08:52|stuck with though and damn it I want to|A
00:08:47|00:08:55|see 8k so we've got another one of these|A
00:08:52|00:08:58|DisplayPort to HDMI adapter and you guys|A
00:08:55|00:09:03|are coming with me for the ride of even|A
00:08:58|00:09:04|if the performance sucks finally getting|A
00:09:03|00:09:09|an 8k output here|A
00:09:04|00:09:11|all right once these are numbered oh I|A
00:09:09|00:09:13|see that's a new one I have literally|A
00:09:11|00:09:16|never seen it do that before|A
00:09:13|00:09:19|okay sure why not remember windows 95|A
00:09:16|00:09:21|guys remember you know who I really feel|A
00:09:19|00:09:24|bad for and all this is sharp they reach|A
