sub_begin_time|sub_end_time|text|class
00:00:01|00:00:02|-Robert Irwin. How you doing, buddy?|NA
00:00:02|00:00:04|-Oh, I am beaut bonza. Thank you. How are you?|NA
00:00:04|00:00:06|-I'm good. Are you -- What? You're a beaut bonza?|NA
00:00:06|00:00:07|-I'm beaut bonza, yeah.|NA
00:00:07|00:00:09|-Now, you always teach me some new word.|NA
00:00:09|00:00:10|And what does that mean?|NA
00:00:10|00:00:12|-Yeah, well, beaut bonza just means amazing.|NA
00:00:12|00:00:13|-Just terrific. -Okay.|NA
00:00:13|00:00:16|-It's the best you can be. -The best you can be?|NA
00:00:16|00:00:17|-Beaut bonza. -So I'm beaut bonza.|NA
00:00:17|00:00:18|-Yeah. Exactly. -Yeah, me too. Yeah, me too!|NA
00:00:18|00:00:20|-Well done! -Thank you very much.|NA
00:00:20|00:00:22|-You're getting the hang of it. -I appreciate that.|NA
00:00:22|00:00:23|-Yeah. -Last time we had you on,|NA
00:00:23|00:00:24|man, oh, man, it was --|NA
00:00:24|00:00:27|It went -- spread like wildfire on Facebook.|NA
00:00:27|00:00:29|54 million people watched you on --|NA
00:00:29|00:00:31|-I know. That was incredible.|NA
00:00:31|00:00:32|[ Cheers and applause ] Thank you.|NA
00:00:32|00:00:35|-I mean -- -Yeah, it was such an honor|NA
00:00:35|00:00:36|to be on the show,|NA
00:00:36|00:00:39|but then one of the friends that was traveling with us|NA
00:00:39|00:00:41|"at the time, he kept going, ""Look! It's up to 10 million!"|NA
00:00:41|00:00:43|"Look! It's at 20 million!"""|NA
00:00:43|00:00:45|And it was just an incredible experience for me.|NA
00:00:45|00:00:46|-That's fun, right?|NA
00:00:46|00:00:48|-Thank you so much for having me back.|NA
00:00:48|00:00:49|-Oh, no, yeah, people love you. They love you. I love you.|NA
00:00:49|00:00:51|[ Cheers and applause ]|NA
00:00:51|00:00:52|And you're smart. You know what you're talking about.|NA
00:00:52|00:00:53|-[ Laughs ] Thank you!|NA
00:00:53|00:00:55|-Which is great, but, also, you look --|NA
00:00:55|00:00:58|A lot of the viewers said how much you look like your dad.|NA
00:00:58|00:01:00|-Oh, thank you so much. -And you really do.|NA
00:01:00|00:01:03|-You're a spitting image. -Aw, thanks.|NA
00:01:03|00:01:05|-He'd be so proud. -Thank you so much.|NA
00:01:05|00:01:10|-But your mom posted a photo of your dad when he was your age|NA
00:01:10|00:01:11|and you.|NA
00:01:11|00:01:12|Look at this. You won't believe this.|NA
00:01:12|00:01:13|-Yeah, it's a bit wild.|NA
00:01:13|00:01:15|[ Laughs ]|NA
00:01:15|00:01:16|-I mean, that's -- That's wild. -Yeah.|NA
00:01:16|00:01:18|-I mean, do you --|NA
00:01:18|00:01:21|do you even realize how much you look like your dad or...?|NA
00:01:21|00:01:24|-Yeah, well, when -- when my mum first showed this to me,|NA
00:01:24|00:01:26|I thought it was me.|NA
00:01:26|00:01:27|-I-I can't tell them apart. -Yeah.|NA
00:01:27|00:01:29|"-And I said, ""It's me. What's the big deal?"""|NA
00:01:29|00:01:31|And until you look at Dad's shirt,|NA
00:01:31|00:01:34|you don't even realize that it's two different people.|NA
00:01:34|00:01:35|"-You're like, ""I wouldn't wear that."""|NA
00:01:35|00:01:36|-[ Laughs ] Yeah.|NA
00:01:36|00:01:38|"-""That's too psychedelic for me, man."""|NA
00:01:38|00:01:40|Yeah. All right.|NA
00:01:40|00:01:42|So, you brought some animals and creatures here tonight.|NA
00:01:42|00:01:43|-Yes, we have. -Let's bring them out.|NA
00:01:43|00:01:44|-What did you bring?|NA
00:01:44|00:01:46|What did you bring to scare me with tonight?|NA
00:01:46|00:01:48|-All right. So, first up, we have Jane.|NA
00:01:48|00:01:50|-Is that a man? Oh, no, okay, okay.|NA
00:01:50|00:01:52|-And Jane... -Okay. Oh, no, no, no.|NA
00:01:52|00:01:54|-...is a dictator scorpion.|NA
00:01:54|00:01:56|-See? Nah, nah, nah. -And Jane is absolutely amazing.|NA
00:01:56|00:01:58|And you're welcome to come close.|NA
00:01:58|00:02:00|She's very calm. She's really nice.|NA
00:02:00|00:02:02|She's actually quite friendly.|NA
00:02:02|00:02:04|-No, that's impossible. It's a scorpion.|NA
00:02:04|00:02:06|How could a scorpion be friendly?|NA
00:02:06|00:02:08|Well, she's curling her tail. That means something, right?|NA
00:02:08|00:02:10|-Yeah. Well, that tail actually contains her venom.|NA
00:02:10|00:02:12|She's got quite a bit of venom.|NA
00:02:12|00:02:16|And they actually inject that venom to kill their prey.|NA
00:02:16|00:02:17|And isn't she just magnificent?|NA
00:02:17|00:02:19|-She's curling it up. She's getting it --|NA
00:02:19|00:02:20|She's, like, balling her fist, ready to go.|NA
00:02:20|00:02:22|-Yeah, but if you look closely,|NA
00:02:22|00:02:24|see those little hairs along her little little pinchers?|NA
00:02:24|00:02:25|-Yeah. -And it's interesting|NA
00:02:25|00:02:28|'cause the bigger the pinchers, the less venomous they are,|NA
00:02:28|00:02:30|but if they have smaller pinchers,|NA
00:02:30|00:02:32|that means they pack a lot of venom.|NA
00:02:32|00:02:34|[ Laughs ] It's pretty interesting, isn't it?|NA
00:02:34|00:02:36|-I don't know how you're that calm. I mean, it's real, right?|NA
00:02:36|00:02:38|That's really moving. I don't like that.|NA
00:02:38|00:02:39|-Yeah. Oh, yeah, definitely. -That thing frightens me.|NA
00:02:39|00:02:41|-Absolutely. -They're so cool.|NA
00:02:41|00:02:42|They're actually nocturnal, as well.|NA
00:02:42|00:02:43|-They hunt at night. -Oh, perfect.|NA
00:02:43|00:02:45|-Yeah. -Oh, yeah, yeah, yeah.|NA
00:02:45|00:02:47|I run into that thing at night.|NA
00:02:47|00:02:48|Get this thing out of here, please.|NA
00:02:48|00:02:50|-It's beautiful. -Okay. No worries.|NA
00:02:50|00:02:51|-Thank you. What a beautiful creature.|NA
00:02:51|00:02:53|-Yeah, they're gorgeous.|NA
00:02:53|00:02:55|Thank you.|NA
00:02:55|00:02:57|-Ahh. Don't you have anything cute?|NA
00:02:57|00:02:59|-Well, this -- this animal is a little bit more cute.|NA
00:02:59|00:03:01|So, how about you come around in front of the desk?|NA
00:03:01|00:03:03|-Okay. Okay. -All right. Okay.|NA
00:03:03|00:03:05|So, let's bring out our next animal.|NA
00:03:05|00:03:07|-I want you to sit down. -Okay.|NA
00:03:07|00:03:09|-All right. Ready? -Yeah.|NA
00:03:09|00:03:12|These -- [ Laughs ] These are baby black bears.|NA
00:03:12|00:03:15|-Oh, my God. -Aren't they beautiful?|NA
00:03:15|00:03:17|Oh, don't -- don't -- don't do that.|NA
00:03:17|00:03:19|-Don't do that. -Ah! Ooh! Ow!|NA
00:03:19|00:03:21|-You can -- You can let -- You can let him go.|NA
00:03:21|00:03:22|You can let her go. There you go.|NA
00:03:22|00:03:23|-All right. This is a baby bear?|NA
00:03:23|00:03:25|-I think she's kind of just chewing on --|NA
00:03:25|00:03:26|She's chewing on your thumb a little bit.|NA
00:03:26|00:03:28|-Yeah, she definitely was chewing on my thumb.|NA
00:03:28|00:03:30|-Absolutely. -They're so funny.|NA
00:03:30|00:03:33|So, these baby bears are kind of hyperactive when they're little.|NA
