sub_begin_time|sub_end_time|text|class
00:00:00|00:00:03|hey tech late here welcome back to|NA
00:00:01|00:00:05|another episode of tech lead today I'll|NA
00:00:03|00:00:08|be your tech lead at the tech lead and|NA
00:00:05|00:00:10|this is coffee time with the tech lead|NA
00:00:08|00:00:12|now I thought what we will talk about|NA
00:00:10|00:00:15|today are seven common mistakes that you|NA
00:00:12|00:00:17|might make in the technical interview|NA
00:00:15|00:00:20|now I might be qualified to talk about|NA
00:00:17|00:00:21|this because I am an ex-googler engineer|NA
00:00:20|00:00:23|tech lead and I've done over 100|NA
00:00:21|00:00:25|technical interviews and I've seen them|A
00:00:23|00:00:27|on today's video by the way is brought|A
00:00:25|00:00:28|to you by brilliant org an educational|A
00:00:27|00:00:30|website where you can learn about|A
00:00:28|00:00:33|algorithms computer science fundamentals|A
00:00:30|00:00:35|math probability statistics and the|A
00:00:33|00:00:36|whole range of topics that can help you|A
00:00:35|00:00:38|increase your technical fundamentals and|A
00:00:36|00:00:40|knowledge to make sure that you pass|A
00:00:38|00:00:42|your next technical interview with|A
00:00:40|00:00:45|flying colors so that you can see that|A
00:00:42|00:00:47|light of success now there are a lot of|NA
00:00:45|00:00:49|common mistakes that newcomers and|NA
00:00:47|00:00:51|veterans alike will make when they walk|NA
00:00:49|00:00:53|into a technical interview and having|NA
00:00:51|00:00:55|done so many interviews in my past I|NA
00:00:53|00:00:57|will be able to clearly see a lot of|NA
00:00:55|00:00:59|mistakes these are common mistakes that|NA
00:00:57|00:01:01|you can easily correct and they're going|NA
00:00:59|00:01:03|to be applicable not just for technical|NA
00:01:01|00:01:05|interviews but also for any interview|NA
00:01:03|00:01:06|and any interaction in general and I|NA
00:01:05|00:01:08|think that these are going to be great|NA
00:01:06|00:01:11|philosophies upon which you may live|NA
00:01:08|00:01:13|your life and base your life on now the|NA
00:01:11|00:01:16|technical interview generally consists|NA
00:01:13|00:01:18|of five to six short 45-minute sessions|NA
00:01:16|00:01:19|and these are sessions in which you have|NA
00:01:18|00:01:22|to prove yourself you only have one|NA
00:01:19|00:01:24|chance per session to show why you're|NA
00:01:22|00:01:27|the person who's qualified and if any|NA
00:01:24|00:01:30|one of these people give you a low mark|NA
00:01:27|00:01:32|a low score then your chances are going|NA
00:01:30|00:01:33|to be really up against you because a|NA
00:01:32|00:01:36|lot of these companies believe in the|NA
00:01:33|00:01:38|idea of not hiring false positives they|NA
00:01:36|00:01:40|were biased towards not giving you the|NA
00:01:38|00:01:42|benefit of the doubt if they don't know|NA
00:01:40|00:01:44|if the signals not clear then it's just|NA
00:01:42|00:01:45|going to be a pass because there's going|NA
00:01:44|00:01:47|to be enough people who can give a|NA
00:01:45|00:01:49|strong higher signal and if they|NA
