sub_begin_time|sub_end_time|text|class
00:00:00|00:00:02|I want to tell you about a very famous|NA
00:00:00|00:00:04|number that you've heard about before|NA
00:00:02|00:00:06|but I'll tell you why it is what it is|NA
00:00:04|00:00:07|and it's the golden ratio a lot of|NA
00:00:06|00:00:08|people think the golden ratio is this|NA
00:00:07|00:00:10|mystical thing it is but not for the|NA
00:00:08|00:00:12|reasons they think but I want to do that|NA
00:00:10|00:00:14|and I tell you why it's interesting when|NA
00:00:12|00:00:15|I do that through a mechanism of flowers|NA
00:00:14|00:00:16|and you may have heard a connection with|NA
00:00:15|00:00:18|the coordination flowers before but I'll|NA
00:00:16|00:00:19|show you why that connection is there|NA
00:00:18|00:00:21|for the sake of this nobody I'll I'll be|NA
00:00:19|00:00:23|the scribe but I'd like you to imagine|NA
00:00:21|00:00:25|Brady that you are a flower your job as|NA
00:00:23|00:00:26|a flower is to deal with your seeds it's|NA
00:00:25|00:00:27|kind of the job of everything living|NA
00:00:26|00:00:28|you're gonna grow some seeds and we're|NA
00:00:27|00:00:29|gonna model this flower in a|NA
00:00:28|00:00:31|mathematical way|NA
00:00:29|00:00:32|this is not how flowers actually grow|NA
00:00:31|00:00:34|but there are connections this is the|NA
00:00:32|00:00:35|center when you grow a seed I'm gonna|NA
00:00:34|00:00:37|represent that by putting a little blob|NA
00:00:35|00:00:39|that's a seed that you've going from the|NA
00:00:37|00:00:40|center of your flower and one option you|NA
00:00:39|00:00:41|could have is is you've got it so where|NA
00:00:40|00:00:44|to put your seeds and I'm gonna give you|NA
00:00:41|00:00:46|the option of only how much do you turn|NA
00:00:44|00:00:48|around before you grow your next seed so|NA
00:00:46|00:00:51|you put a seed down and you could turn a|NA
00:00:48|00:00:52|bit and put another seat down kind of|NA
00:00:51|00:00:54|growing it if you don't turn at all|NA
00:00:52|00:00:55|you're gonna grow seeds out like this|NA
00:00:54|00:00:56|the first he goes there if you don't|NA
00:00:55|00:00:58|turn the next he goes next to it then if|NA
00:00:56|00:00:59|one goes next to it you're gonna grow|NA
00:00:58|00:01:00|the seeds out there and you're gonna|NA
00:00:59|00:01:02|push seeds out actually I'm adding them|NA
00:01:00|00:01:03|on the end but it grow from there and|NA
00:01:02|00:01:05|push this seeds out on the line this is|NA
00:01:03|00:01:06|a really bad arrangement for a flower I|NA
00:01:05|00:01:08|hope you agree and I hope you weren't|NA
00:01:06|00:01:11|imagining this when you were thinking of|NA
00:01:08|00:01:14|a flower yeah there's a whole bunch of|NA
00:01:11|00:01:15|circle unused so the obvious thing if|NA
00:01:14|00:01:17|I'm gonna do this model of like if a|NA
00:01:15|00:01:18|flower could just grow by putting a seed|NA
00:01:17|00:01:20|in and turning a bit what would happen|NA
00:01:18|00:01:22|if you turn an amount of a turn so I'm|NA
00:01:20|00:01:24|gonna talk about fractions of turns this|NA
00:01:22|00:01:26|is a fraction return of zero if you do|NA
00:01:24|00:01:27|no one here with an you turn half a turn|NA
00:01:26|00:01:29|each time then if the first seed goes|NA
00:01:27|00:01:31|here then I think if you turn half turn|NA
00:01:29|00:01:33|the next one's gonna go there if you|NA
00:01:31|00:01:34|don't half turn again keep UN same|NA
00:01:33|00:01:37|direction it's gonna go there and there|NA
00:01:34|00:01:39|and this is also not exciting being kind|NA
00:01:37|00:01:41|of see why the decision of turning a|NA
00:01:39|00:01:43|half has made two lines and maybe gonna|NA
00:01:41|00:01:44|call these spokes because just to get|NA
00:01:43|00:01:46|you in the mood Lister third you could|NA
