sub_begin_time|sub_end_time|text|class
00:00:01|00:00:10|I'll do the trick|NA
00:00:03|00:00:12|get him drinking that a couple of months|NA
00:00:10|00:00:15|back nvidia published the data from a|NA
00:00:12|00:00:17|study showing that gamers running on|NA
00:00:15|00:00:20|high refresh rate monitors with faster|NA
00:00:17|00:00:22|pcs were fragging more noobs than their|NA
00:00:20|00:00:24|pleb counterparts who were running low|NA
00:00:22|00:00:27|refresh rate monitors and slower|NA
00:00:24|00:00:29|computers of course their conclusion was|NA
00:00:27|00:00:31|everyone should buy better gear to make|NA
00:00:29|00:00:33|them a better gamer the problem with|NA
00:00:31|00:00:35|their study is that while they did find|NA
00:00:33|00:00:37|a correlation between people with better|NA
00:00:35|00:00:41|equipment and people with more skills a|NA
00:00:37|00:00:44|correlation does not mean causation so a|NA
00:00:41|00:00:47|lot of arguments get made about the|NA
00:00:44|00:00:51|subject of high fps and high refresh|NA
00:00:47|00:00:53|rate gaming and how many FPS is enough|NA
00:00:51|00:00:55|before the I can't see a difference but|NA
00:00:53|00:00:58|one of the key components of a faster|NA
00:00:55|00:01:01|refresh rate display is not in fact the|NA
00:00:58|00:01:03|smoothness of the animation and it is|NA
00:01:01|00:01:05|smoother please don't be ignorant but|NA
00:01:03|00:01:08|rather the frequency with which your eye|NA
00:01:05|00:01:10|receives updated information about the|NA
00:01:08|00:01:13|whereabouts and activities of your|NA
00:01:10|00:01:17|enemies so today's video is all about|NA
00:01:13|00:01:20|determining quantitatively how much|NA
00:01:17|00:01:22|faster a gamer with a 240 Hertz display|NA
00:01:20|00:01:27|will react versus a gamer with a more|NA
00:01:22|00:01:30|traditional 60 Hertz display and we|NA
00:01:27|00:01:33|invited a special guest gavin free of|NA
00:01:30|00:01:36|slo-mo guys and roosterteeth fame is|NA
00:01:33|00:01:38|gonna help us operate this thing to do|NA
00:01:36|00:01:40|it I don't know how to operate this|NA
00:01:38|00:01:42|thing thank goodness he's here I can you|NA
00:01:40|00:01:44|back speaking of thank goodness thank|A
00:01:42|00:01:46|goodness for our sponsor Moss has|A
00:01:44|00:01:48|updated their packs once again and|A
00:01:46|00:01:50|they're combining the best features from|A
00:01:48|00:01:52|their Grande and their black pack into|A
00:01:50|00:01:54|their new moss pack v4 check it out|A
00:01:52|00:01:56|today at the link in the video|A
00:01:54|00:01:56|description|NA
00:02:03|00:02:10|first we want to know if our 240 Hertz|NA
00:02:07|00:02:13|gamer sees the enemy sooner that is to|NA
00:02:10|00:02:15|say we want to know if the up to 12|NA
00:02:13|00:02:19|milliseconds of extra information|NA
00:02:15|00:02:22|actually helps him or her react faster|NA
00:02:19|00:02:24|we also want to know on average if the|NA
00:02:22|00:02:27|smoother animations and the more|NA
00:02:24|00:02:29|frequent updates allow our gamer test|NA
00:02:27|00:02:32|subject here to kill the enemy sooner or|NA
00:02:29|00:02:35|more reliably so here's our test rig on|NA
00:02:32|00:02:38|the right hand side we've got our enemy|NA
00:02:35|00:02:40|or our target which is running a cs go|NA
00:02:38|00:02:43|server on our high-speed local area|NA
00:02:40|00:02:46|network every test needs to be run|NA
00:02:43|00:02:49|exactly the same way so what we'll do is|NA
00:02:46|00:02:51|position this computer's character in|NA
00:02:49|00:02:54|this corner right here so it's in|NA
00:02:51|00:02:56|exactly the same spot then we'll use|NA
00:02:54|00:02:58|this readout in the top left to make|NA
00:02:56|00:03:02|sure that our weapon is pointed at the|NA
00:02:58|00:03:04|exact same pixel then what we do is we|NA
00:03:02|00:03:07|take these two contacts and touch them|NA
00:03:04|00:03:10|together which lights up an LED on our|NA
00:03:07|00:03:12|makeymakey right here that is going to|NA
00:03:10|00:03:15|synchronize with our high-speed camera|NA
00:03:12|00:03:18|when exactly our target begins moving|NA
00:03:15|00:03:21|without making any noise that will alert|NA
00:03:18|00:03:23|our test subject so we're going to be|NA
00:03:21|00:03:26|using the same monitor from Acer for|NA
00:03:23|00:03:28|both our 60 Hertz and our 240 Hertz|NA
00:03:26|00:03:31|tests since the only variable that we're|NA
00:03:28|00:03:33|trying to isolate is the refresh rate|NA
00:03:31|00:03:35|each of our test subjects gets to|NA
00:03:33|00:03:37|practice runs at 60 Hertz to ensure that|NA
00:03:35|00:03:40|they're familiar with the test then|NA
00:03:37|00:03:44|we'll follow with three runs at 60 three|NA
00:03:40|00:03:47|runs at 240 and then four runs two at 60|NA
00:03:44|00:03:49|and two at 240 where the test subject|NA
00:03:47|00:03:52|isn't told the monitor refresh rate each|NA
00:03:49|00:03:54|time so the way that this works is once|NA
00:03:52|00:03:58|again I'm pointing at exactly the same|NA
00:03:54|00:03:59|spot exact pixel and then Ed without me|NA
00:03:58|00:04:02|being able to see what he's doing|NA
00:03:59|00:04:04|starts running at some point now let's|NA
00:04:02|00:04:07|talk about our timing mechanism so it's|NA
00:04:04|00:04:10|probably a little overkill but this here|NA
00:04:07|00:04:13|is a what is this walk us through this|NA
00:04:10|00:04:14|is the fencin flex 4k it's what I've|NA
00:04:13|00:04:16|used for a long time on my channels|NA
00:04:14|00:04:17|about a five-year old camera this|NA
00:04:16|00:04:19|point there's not really any storage|NA
00:04:17|00:04:21|media that can write so fast when you're|NA
00:04:19|00:04:24|taking in that many images so it|NA
00:04:21|00:04:26|requests when internal Ram buffer so|NA
00:04:24|00:04:28|it's always recording five second buffer|NA
00:04:26|00:04:30|and then all I do is just stop it and it|NA
00:04:28|00:04:32|keeps the previous five seconds then we|NA
00:04:30|00:04:36|record that onto this very fast flash|NA
00:04:32|00:04:38|storage these are expensive sadly so the|NA
00:04:36|00:04:40|way the camera works speed wise it has a|NA
