sub_begin_time|sub_end_time|text|class
00:00:00|00:00:04|<st> hey you there well come on over here and|NA
00:00:02|00:00:06|sit down welcome back to another episode|NA
00:00:04|00:00:08|of the tech lead this is the second part|NA
00:00:06|00:00:13|of coffee time that's why the coffee has|NA
00:00:08|00:00:15|been watered down oh that's gross I|NA
00:00:13|00:00:17|might try opening up a coffee shop to|NA
00:00:15|00:00:19|sell this stuff the profit margins must|NA
00:00:17|00:00:22|be quite good I wanted to talk to you|NA
00:00:19|00:00:25|guys about seven basic resume tips for|NA
00:00:22|00:00:26|the technical coding interview it's come|NA
00:00:25|00:00:29|to my attention that some of you guys|NA
00:00:26|00:00:30|out there you've been sending me resumes|NA
00:00:29|00:00:33|to critique to take a look at and|NA
00:00:30|00:00:35|they're extraordinarily bad hideous I|NA
00:00:33|00:00:37|wanted to make a video just so that in|NA
00:00:35|00:00:40|one shot I could give you guys all a few|NA
00:00:37|00:00:43|basic tips to up your game one thing to|NA
00:00:40|00:00:45|know is that the technical resume is|NA
00:00:43|00:00:46|very different than the normal resume|NA
00:00:45|00:00:47|there are few things are different that|NA
00:00:46|00:00:49|if you're new to the game you're not|NA
00:00:47|00:00:52|going to know about so I've seen|NA
00:00:49|00:00:53|hundreds of resumes myself and I feel|NA
00:00:52|00:00:55|that I can just give you a few basic|NA
00:00:53|00:00:56|pointers to help you guys get going now|A
00:00:55|00:00:59|the first thing to know is that this|A
00:00:56|00:01:01|video is sponsored by brilliant org so|A
00:00:59|00:01:03|check them out they're an educational|A
00:01:01|00:01:05|website they make learning fun with very|A
00:01:03|00:01:07|experienced educators check out their|A
00:01:05|00:01:09|website I brilliant that org slash tech|A
00:01:07|00:01:10|lead okay so the other thing I want to|NA
00:01:09|00:01:13|know is that I'm not a recruiter|NA
00:01:10|00:01:15|okay so recruiters are often the|NA
00:01:13|00:01:16|gatekeepers into a company they're|NA
00:01:15|00:01:18|perhaps the number one audience for your|NA
00:01:16|00:01:20|resume since I'm not a recruiter|NA
00:01:18|00:01:22|I don't really know necessarily what|NA
00:01:20|00:01:24|they're looking for what their sides if|NA
00:01:22|00:01:25|the picture is but there are a number of|NA
00:01:24|00:01:27|people who view your resume I would say|NA
00:01:25|00:01:29|about three different people the first|NA
00:01:27|00:01:31|group are the recruiters after that the|NA
00:01:29|00:01:33|resume goes into the hiring manager|NA
00:01:31|00:01:34|sometimes the hiring manager has a lot|NA
00:01:33|00:01:35|of experience might take a look at your|NA
00:01:34|00:01:37|resume and decide whether to bring you|NA
00:01:35|00:01:39|on site then there's a third group the|NA
00:01:37|00:01:41|group I belong to I'm just another|NA
00:01:39|00:01:43|interviewer I'm the engineer that|NA
00:01:41|00:01:44|developer your colleague I conduct the|NA
00:01:43|00:01:45|interview everyone's looking for|NA
00:01:44|00:01:47|different things so you need to craft|NA
00:01:45|00:01:49|your resume kind of for three different|NA
00:01:47|00:01:51|audiences and you need to be able to hit|NA
00:01:49|00:01:53|all of them one key thing to note is|NA
00:01:51|00:01:55|that in tech there's so many resumes|NA
00:01:53|00:01:57|hundreds of millions of resumes actually|NA
00:01:55|00:01:59|in order to really process them people|NA
00:01:57|00:02:01|use filters so that's the number one|NA
00:01:59|00:02:02|make sure that your resume is easily|NA
00:02:01|00:02:04|searchable you're hitting those keywords|NA
00:02:02|00:02:06|a lot of people will be doing this the|NA
00:02:04|00:02:08|tech resume often has the skills and|NA
00:02:06|00:02:11|languages section that just lists a|NA
00:02:08|00:02:13|bunch of keywords like C++ Java|NA
00:02:11|00:02:16|JavaScript my sequel Python|NA
00:02:13|00:02:18|PHP objective-c swith Android iOS|NA
00:02:16|00:02:20|angular Kotlin just a whole bunch of|NA
00:02:18|00:02:22|different technologies that you think a|NA
00:02:20|00:02:24|recruiter may be looking for as they're|NA
00:02:22|00:02:26|trying to filter for a candidate for|NA
00:02:24|00:02:28|specific role the section is generally|NA
00:02:26|00:02:29|prioritized from the most experienced to|NA
00:02:28|00:02:31|the least experienced and this is|NA
00:02:29|00:02:33|something that I used to include in my|NA
00:02:31|00:02:36|resume as well but we'll see in a moment|NA
00:02:33|00:02:37|why I actually decided to remove the|NA
00:02:36|00:02:39|skills and languages section from my|NA
00:02:37|00:02:43|resume and I'll tell you why in a moment|NA
00:02:39|00:02:45|the second tip is remember that less is|NA
00:02:43|00:02:47|more I strongly recommend that you keep|NA
