sub_begin_time|sub_end_time|text|class
00:00:00|00:00:05|"<st> well hello there<font color=""#CCCCCC""> we're gonna</font><font color=""#E5E5E5""> talk</font><font color=""#CCCCCC""> about</font>"|NA
00:00:02|00:00:06|"abortion<font color=""#E5E5E5""> and sex in Hollywood and lots</font>"|NA
00:00:05|00:00:08|"of things having<font color=""#CCCCCC""> to do with Trump and</font>"|NA
00:00:06|00:00:11|"<font color=""#E5E5E5"">dead soldiers and</font><font color=""#CCCCCC""> all sorts of stupid</font>"|NA
00:00:08|00:00:18|"<font color=""#E5E5E5"">things also</font><font color=""#CCCCCC""> i'm ben shapiro this is the</font>"|NA
00:00:11|00:00:19|"ben shapiro show little behind<font color=""#E5E5E5""> the</font>"|NA
00:00:18|00:00:21|"<font color=""#E5E5E5"">scenes there every time we open</font><font color=""#CCCCCC""> this</font>"|NA
00:00:19|00:00:23|"show i have to<font color=""#E5E5E5""> look to a different</font>"|NA
00:00:21|00:00:24|"camera<font color=""#E5E5E5""> and I am very awkward at it so if</font>"|NA
00:00:23|00:00:25|"you can't<font color=""#E5E5E5""> see the show that's what</font>"|NA
00:00:24|00:00:27|"<font color=""#E5E5E5"">you're missing out on folks okay so</font>"|NA
00:00:25|00:00:29|"before<font color=""#E5E5E5""> we get to any of these things so</font>"|NA
00:00:27|00:00:30|"somebody on the left<font color=""#E5E5E5""> this</font><font color=""#CCCCCC""> morning on</font>"|NA
00:00:29|00:00:34|"<font color=""#E5E5E5"">Twitter presented the greatest</font>"|NA
00:00:30|00:00:36|"pro-abortion<font color=""#E5E5E5""> argument of all time</font><font color=""#CCCCCC""> and</font>"|NA
00:00:34|00:00:37|"<font color=""#E5E5E5"">then I refuted it and then he blocked me</font>"|NA
00:00:36|00:00:38|"so I will<font color=""#E5E5E5""> explain to you why this was</font>"|NA
00:00:37|00:00:40|"not<font color=""#E5E5E5""> in fact the greatest pro-abortion</font>"|NA
00:00:38|00:00:43|"argument of<font color=""#E5E5E5""> all time and why it is</font><font color=""#CCCCCC""> that</font>"|NA
00:00:40|00:00:45|"<font color=""#E5E5E5"">people</font><font color=""#CCCCCC""> think it was we</font><font color=""#E5E5E5""> will also talk a</font>"|NA
